Date,Date,ENGIE,EDF,RWE,EON,INNOGY,UNIPER,Percent_ENGIE,Percent_EDF,Percent_RWE,Percent_EON,Percent_INNOGY,Percent_UNIPER
2018-05-18,2018-05-18,14.535,12.28,20.21,9.386000000000001,36.21,27.18,1.080267558528428,1.1063063063063063,1.0059731209556995,1.042657187291713,0.9375970999482135,1.1468354430379748
2018-05-21,2018-05-21,14.595,12.26,20.12,9.431000000000001,36.1,27.3,1.084726867335563,1.1045045045045045,1.001493280238925,1.0476560764274605,0.9347488348006215,1.1518987341772153
2018-05-22,2018-05-22,14.3,12.25,20.18,9.477,36.15,27.38,1.0628019323671498,1.1036036036036037,1.0044798407167745,1.052766051988447,0.9360435007767997,1.1552742616033755
2018-05-23,2018-05-23,14.255,12.4,19.96,9.424,35.89,26.97,1.0594574507617986,1.1171171171171173,0.9935291189646591,1.0468784714507886,0.9293112377006733,1.1379746835443039
2018-05-24,2018-05-24,14.23,12.315,19.785,9.281,35.94,26.83,1.0575994054254925,1.1094594594594593,0.9848183175709309,1.0309931126416352,0.9306059036768514,1.1320675105485232
2018-05-25,2018-05-25,14.2,11.99,19.66,9.229,35.95,26.6,1.0553697510219249,1.0801801801801802,0.9785963165754107,1.0252166185292155,0.9308648368720871,1.1223628691983123
2018-05-28,2018-05-28,14.02,11.66,19.8,9.22,36.0,26.94,1.0419918246005202,1.0504504504504506,0.9855649576903933,1.0242168407020662,0.9321595028482652,1.1367088607594937
2018-05-29,2018-05-29,13.705,11.42,19.705,9.154,35.87,26.77,1.018580453363062,1.0288288288288288,0.9808362369337978,1.016885136636303,0.928793371310202,1.129535864978903
2018-05-30,2018-05-30,13.715,11.39,19.265,9.05,35.81,26.61,1.0193236714975846,1.0261261261261263,0.958934793429567,1.0053321484114641,0.9272397721387883,1.1227848101265823
2018-05-31,2018-05-31,13.79,11.585,19.845,9.163,36.16,26.86,1.0248978075065032,1.0436936936936938,0.9878048780487805,1.0178849144634525,0.9363024339720352,1.1333333333333333
2018-06-01,2018-06-01,13.625,11.42,19.475,9.08,36.11,27.05,1.0126347082868823,1.0288288288288288,0.9693877551020409,1.0086647411686291,0.9350077679958572,1.1413502109704643
2018-06-04,2018-06-04,13.62,11.415,19.38,9.085,36.05,26.87,1.0122630992196209,1.0283783783783784,0.9646590343454454,1.0092201732948234,0.9334541688244433,1.1337552742616035
2018-06-05,2018-06-05,13.5,11.535,19.545,9.04,36.13,26.97,1.0033444816053512,1.0391891891891893,0.9728720756595322,1.0042212841590756,0.9355256343863284,1.1379746835443039
2018-06-06,2018-06-06,13.565,11.43,19.47,8.963,36.29,26.85,1.0081753994797473,1.0297297297297296,0.96913887506222,0.9956676294156852,0.9396685655100985,1.1329113924050633
2018-06-07,2018-06-07,13.55,11.225,19.24,8.922,36.38,26.45,1.0070605722779635,1.0112612612612613,0.9576903932304629,0.9911130859808931,0.9419989642672192,1.1160337552742616
2018-06-08,2018-06-08,13.62,11.175,18.79,8.83,36.45,26.02,1.0122630992196209,1.0067567567567568,0.9352911896465903,0.9808931348589202,0.9438114966338687,1.0978902953586498
2018-06-11,2018-06-11,13.545,11.19,19.045,8.923,36.41,25.49,1.0066889632107023,1.008108108108108,0.9479840716774516,0.9912241724061319,0.9427757638529259,1.0755274261603376
2018-06-12,2018-06-12,13.715,11.15,19.19,8.956,36.59,25.58,1.0193236714975846,1.0045045045045045,0.9552015928322549,0.9948900244390134,0.9474365613671675,1.079324894514768
2018-06-13,2018-06-13,13.64,11.15,19.395,9.08,36.6,25.26,1.0137495354886659,1.0045045045045045,0.9654056744649079,1.0086647411686291,0.947695494562403,1.0658227848101267
2018-06-14,2018-06-14,13.47,11.32,19.285,8.912,36.53,25.2,1.0011148272017838,1.0198198198198198,0.9599303135888502,0.9900022217285048,0.9458829621957536,1.0632911392405062
2018-06-15,2018-06-15,13.915,11.555,19.985,9.329,36.72,25.58,1.034188034188034,1.040990990990991,0.994773519163763,1.0363252610530993,0.9508026929052305,1.079324894514768
2018-06-18,2018-06-18,13.82,11.57,20.16,9.459,36.64,25.36,1.0271274619100705,1.0423423423423424,1.0034843205574913,1.0507664963341479,0.9487312273433455,1.070042194092827
2018-06-19,2018-06-19,13.135,11.2,19.78,9.211,36.51,25.15,0.9762170196952805,1.009009009009009,0.98456943753111,1.0232170628749166,0.9453650958052823,1.0611814345991561
2018-06-20,2018-06-20,13.405,11.285,19.915,9.255,36.52,25.41,0.9962839093273875,1.0166666666666666,0.9912891986062717,1.0281048655854255,0.945624029000518,1.0721518987341772
2018-06-21,2018-06-21,13.265,11.25,19.67,9.218,36.61,25.06,0.9858788554440728,1.0135135135135136,0.9790940766550523,1.0239946678515885,0.9479544277576386,1.0573839662447257
2018-06-22,2018-06-22,13.13,11.575,19.4,9.087,36.75,25.15,0.9758454106280193,1.0427927927927927,0.9656545545047287,1.009442346145301,0.9515794924909374,1.0611814345991561
2018-06-25,2018-06-25,13.105,11.8,19.28,9.05,36.62,25.22,0.9739873652917131,1.063063063063063,0.9596814335490295,1.0053321484114641,0.9482133609528741,1.0641350210970464
2018-06-26,2018-06-26,13.075,11.805,19.17,9.045,36.62,25.49,0.9717577108881457,1.0635135135135134,0.9542060726729718,1.0047767162852699,0.9482133609528741,1.0755274261603376
2018-06-27,2018-06-27,13.08,11.8,19.355,9.165,36.64,25.04,0.972129319955407,1.063063063063063,0.9634146341463415,1.01810708731393,0.9487312273433455,1.0565400843881856
2018-06-28,2018-06-28,13.21,11.765,19.255,9.18,36.72,25.16,0.9817911557041993,1.05990990990991,0.9584370333499252,1.0197733836925127,0.9508026929052305,1.0616033755274261
2018-06-29,2018-06-29,13.25,11.95,19.565,9.142999999999999,36.65,25.49,0.9847640282422891,1.0765765765765765,0.9738675958188154,1.0156631859586756,0.9489901605385811,1.0755274261603376
2018-07-02,2018-07-02,13.05,11.71,19.36,9.02,36.63,25.27,0.9698996655518395,1.054954954954955,0.9636635141861623,1.0019995556542989,0.94847229414811,1.0662447257383967
2018-07-03,2018-07-03,13.16,11.85,19.845,9.29,36.6,25.69,0.9780750650315868,1.0675675675675675,0.9878048780487805,1.0319928904687845,0.947695494562403,1.0839662447257385
2018-07-04,2018-07-04,13.35,12.07,20.5,9.478,36.71,26.04,0.9921962095875139,1.0873873873873874,1.0204081632653061,1.0528771384136857,0.9505437597099949,1.09873417721519
2018-07-05,2018-07-05,13.435,12.105,21.06,9.664,36.76,25.94,0.998513563730955,1.0905405405405406,1.0482827277252365,1.0735392135081092,0.9518384256861729,1.0945147679324896
2018-07-06,2018-07-06,13.57,12.265,21.54,9.84,36.79,26.28,1.0085470085470085,1.104954954954955,1.0721752115480339,1.0930904243501443,0.9526152252718799,1.108860759493671
2018-07-09,2018-07-09,13.615,12.35,22.21,9.95,36.71,26.97,1.0118914901523597,1.1126126126126126,1.105525136884022,1.1053099311264163,0.9505437597099949,1.1379746835443039
2018-07-10,2018-07-10,13.485,12.255,21.82,9.75,36.61,26.6,1.0022296544035674,1.1040540540540542,1.0861124937779991,1.0830926460786492,0.9479544277576386,1.1223628691983123
2018-07-11,2018-07-11,13.39,12.26,21.66,9.64,36.56,26.49,0.995169082125604,1.1045045045045045,1.0781483325037333,1.0708731393023772,0.9466597617814605,1.1177215189873417
2018-07-12,2018-07-12,13.405,12.185,21.53,9.699,36.73,26.16,0.9962839093273875,1.0977477477477477,1.0716774514683922,1.0774272383914685,0.9510616261004661,1.1037974683544305
2018-07-13,2018-07-13,13.55,12.3,21.7,9.7,36.74,26.68,1.0070605722779635,1.1081081081081081,1.0801393728222997,1.0775383248167072,0.9513205592957018,1.1257383966244725
2018-07-16,2018-07-16,13.525,12.205,21.56,9.605,36.58,26.28,1.0052025269416573,1.0995495495495495,1.073170731707317,1.0669851144190179,0.9471776281719316,1.108860759493671
2018-07-17,2018-07-17,13.37,12.165,21.7,9.61,36.61,26.35,0.9936826458565589,1.095945945945946,1.0801393728222997,1.0675405465452121,0.9479544277576386,1.1118143459915613
2018-07-18,2018-07-18,13.385,12.23,21.83,9.695,36.6,26.52,0.9947974730583427,1.1018018018018019,1.0866102538576405,1.0769828926905132,0.947695494562403,1.1189873417721519
2018-07-19,2018-07-19,13.445,12.3,21.81,9.773,36.6,26.47,0.9992567818654775,1.1081081081081081,1.0856147336983573,1.0856476338591423,0.947695494562403,1.1168776371308016
2018-07-20,2018-07-20,13.33,12.245,22.1,9.618,36.59,26.48,0.990709773318469,1.103153153153153,1.1000497760079642,1.0684292379471227,0.9474365613671675,1.1172995780590718
2018-07-23,2018-07-23,13.355,12.21,22.1,9.77,36.64,26.5,0.9925678186547752,1.1,1.1000497760079642,1.0853143745834257,0.9487312273433455,1.118143459915612
2018-07-24,2018-07-24,13.585,12.25,22.3,9.708,36.76,26.61,1.0096618357487923,1.1036036036036037,1.1100049776007965,1.078427016218618,0.9518384256861729,1.1227848101265823
2018-07-25,2018-07-25,13.43,12.17,21.97,9.59,36.75,26.28,0.9981419546636938,1.0963963963963965,1.093578894972623,1.0653188180404354,0.9515794924909374,1.108860759493671
2018-07-26,2018-07-26,13.51,12.185,22.0,9.54,36.87,26.0,1.0040876997398736,1.0977477477477477,1.095072175211548,1.0597644967784936,0.9546866908337649,1.0970464135021096
2018-07-27,2018-07-27,13.945,12.25,22.2,9.696,37.27,26.11,1.0364176885916017,1.1036036036036037,1.1050273768043803,1.0770939791157519,0.9650440186431902,1.1016877637130802
2018-07-30,2018-07-30,14.075,12.34,22.39,9.85,37.4,26.28,1.0460795243403938,1.1117117117117117,1.114484818317571,1.0942012886025327,0.9684101501812533,1.108860759493671
2018-07-31,2018-07-31,13.79,12.5,22.33,9.63,37.9,26.51,1.0248978075065032,1.1261261261261262,1.1114982578397212,1.0697622750499889,0.9813568099430348,1.118565400843882
2018-08-01,2018-08-01,13.805,12.87,22.43,9.67,38.1,26.8,1.026012634708287,1.1594594594594594,1.1164758586361374,1.0742057320595422,0.9865354738477474,1.130801687763713
2018-08-02,2018-08-02,13.51,12.785,21.71,9.453,37.77,26.35,1.0040876997398736,1.151801801801802,1.0806371329019413,1.050099977782715,0.9779906784049717,1.1118143459915613
2018-08-03,2018-08-03,13.48,12.8,21.51,9.472000000000001,37.78,26.39,1.0018580453363062,1.1531531531531531,1.0706819313091092,1.052210619862253,0.9782496116002073,1.1135021097046414
2018-08-06,2018-08-06,13.485,13.145,21.33,9.588,37.77,26.61,1.0022296544035674,1.1842342342342342,1.0617222498755599,1.0650966451899577,0.9779906784049717,1.1227848101265823
2018-08-07,2018-08-07,13.385,13.145,21.2,9.609,37.71,26.27,0.9947974730583427,1.1842342342342342,1.055251368840219,1.0674294601199732,0.9764370792335578,1.1084388185654008
2018-08-08,2018-08-08,13.495,13.34,21.26,9.671,37.66,26.4,1.00297287253809,1.2018018018018017,1.0582379293180688,1.074316818484781,0.9751424132573796,1.1139240506329113
2018-08-09,2018-08-09,13.3,13.33,21.05,9.394,37.69,25.72,0.9884801189149016,1.2009009009009008,1.0477849676455948,1.0435458786936236,0.9759192128430865,1.0852320675105485
2018-08-10,2018-08-10,13.265,13.265,20.91,9.38,37.66,25.24,0.9858788554440728,1.1950450450450452,1.0408163265306123,1.04199066874028,0.9751424132573796,1.0649789029535865
2018-08-13,2018-08-13,12.99,13.2,20.7,9.24,37.46,24.69,0.9654403567447046,1.1891891891891893,1.0303633648581383,1.026438569206843,0.969963749352667,1.0417721518987342
2018-08-14,2018-08-14,13.22,13.32,21.16,9.321,37.62,25.05,0.9825343738387217,1.2,1.0532603285216526,1.0354365696511885,0.9741066804764371,1.0569620253164558
2018-08-15,2018-08-15,13.215,13.38,21.74,9.427,37.41,25.02,0.9821627647714604,1.2054054054054055,1.082130413140866,1.0472117307265052,0.9686690833764888,1.0556962025316456
2018-08-16,2018-08-16,13.06,13.23,21.21,9.369,37.2,24.66,0.970642883686362,1.191891891891892,1.0557491289198606,1.0407687180626526,0.9632314862765408,1.040506329113924
2018-08-17,2018-08-17,13.14,13.4,21.26,9.45,37.2,24.79,0.9765886287625418,1.2072072072072073,1.0582379293180688,1.0497667185069983,0.9632314862765408,1.0459915611814345
2018-08-20,2018-08-20,13.11,13.395,21.01,9.545,37.3,25.33,0.9743589743589743,1.2067567567567568,1.0457939273270285,1.0603199289046878,0.965820818228897,1.068776371308017
2018-08-21,2018-08-21,13.11,13.39,21.16,9.5,37.15,25.04,0.9743589743589743,1.2063063063063064,1.0532603285216526,1.05532103976894,0.9619368203003625,1.0565400843881856
2018-08-22,2018-08-22,13.17,13.7,21.19,9.479,37.2,25.41,0.9788182831661092,1.2342342342342343,1.0547536087605776,1.0529882248389246,0.9632314862765408,1.0721518987341772
2018-08-23,2018-08-23,13.075,13.9,21.38,9.493,37.28,25.75,0.9717577108881457,1.2522522522522523,1.064211050273768,1.0545434347922684,0.9653029518384257,1.0864978902953586
2018-08-24,2018-08-24,13.115,13.995,21.8,9.54,37.32,25.99,0.9747305834262356,1.2608108108108107,1.0851169736187158,1.0597644967784936,0.9663386846193682,1.0966244725738397
2018-08-27,2018-08-27,13.125,14.065,21.75,9.547,37.21,25.87,0.975473801560758,1.2671171171171172,1.0826281732205076,1.0605421017551655,0.9634904194717764,1.0915611814345991
2018-08-28,2018-08-28,13.065,14.25,22.0,9.45,37.49,26.25,0.9710144927536232,1.2837837837837838,1.095072175211548,1.0497667185069983,0.970740548938374,1.1075949367088609
2018-08-29,2018-08-29,13.0,14.17,21.74,9.35,37.46,26.08,0.966183574879227,1.2765765765765766,1.082130413140866,1.0386580759831148,0.969963749352667,1.10042194092827
2018-08-30,2018-08-30,13.025,14.25,21.86,9.32,37.36,26.03,0.9680416202155333,1.2837837837837838,1.0881035340965655,1.0353254832259497,0.9673744174003107,1.09831223628692
2018-08-31,2018-08-31,12.845,14.085,21.88,9.247,37.27,26.3,0.9546636937941286,1.268918918918919,1.0890990542558487,1.0272161741835146,0.9650440186431902,1.109704641350211
2018-09-03,2018-09-03,12.605,14.01,21.73,9.13,37.5,26.26,0.936826458565589,1.2621621621621621,1.0816326530612246,1.014219062430571,0.9709994821336096,1.1080168776371309
2018-09-04,2018-09-04,12.67,13.98,22.0,9.238999999999999,37.43,26.16,0.9416573764399851,1.2594594594594595,1.095072175211548,1.0263274827816038,0.9691869497669602,1.1037974683544305
2018-09-05,2018-09-05,12.52,13.885,21.58,9.01,37.53,25.93,0.9305091044221478,1.250900900900901,1.0741662518666002,1.0008886914019106,0.9717762817193165,1.0940928270042194
2018-09-06,2018-09-06,12.335,13.95,21.12,8.93,37.49,25.91,0.916759568933482,1.2567567567567568,1.051269288203086,0.9920017773828037,0.970740548938374,1.0932489451476795
2018-09-07,2018-09-07,12.285,14.18,21.5,8.888,37.47,25.74,0.9130434782608696,1.2774774774774775,1.0701841712294673,0.9873361475227727,0.9702226825479027,1.0860759493670886
